Protein IDs	id	Intensity S01_F	Intensity S04_M	Intensity S05_F	Intensity S15_M	Intensity S187_F	Intensity S188_F	Intensity S205_M	Intensity S209_M	Intensity S49_F	Intensity S52_F	Intensity S54_M	Intensity S57_M	Intensity S58_F	Intensity S96_F	hgnc_symbol	description
A0A075B6J9	627	28.792655475319567	30.008384166375006	29.38071721469961	29.579026995779095	22.501425847129276	24.22435031855202	30.021680988988464	25.87173531980699	26.543331129389045	28.055689881153363	28.764458583488917	22.664109134470348	28.40730200029057	28.28912057394226	IGLV2-18	immunoglobulin lambda variable 2-18 [Source:HGNC Symbol;Acc:HGNC:5889]
A0A075B6P5	3	29.29789078356999	30.491901403536616	29.96774218187766	30.372437736935044	22.501425847129276	26.97596268868263	29.708001601768906	26.838459164932694	28.040093026102344	28.868206508326743	29.684785318503128	27.801933288907577	29.62156654074362	28.23990759946358	IGKV2-28	immunoglobulin kappa variable 2-28 [Source:HGNC Symbol;Acc:HGNC:5783]
A0A0A0MRZ8	6	27.997657759781948	29.47653300211341	29.939997191394756	29.81726494266357	22.501425847129276	22.30750420799226	28.58978005207597	25.855193180692496	26.489223724049594	26.55068808077739	28.811151818936956	25.836052667225598	29.340959505461875	28.055689881153363	IGKV3D-11	immunoglobulin kappa variable 3D-11 [Source:HGNC Symbol;Acc:HGNC:5823]
A0A0B4J1V1	423	27.560925189403783	29.340959505461875	23.95635261585214	27.28912057394226	22.501425847129276	25.878767153586228	26.323885992102934	24.733761786266	25.929312595383806	25.986851004825365	24.913421222613916	22.664109134470348	27.188956412016825	27.986851004825365	IGHV3-21	immunoglobulin heavy variable 3-21 [Source:HGNC Symbol;Acc:HGNC:5586]
A0A0C4DH41	12	29.300075030831866	29.724358863625238	29.808085515889175	30.403243783716217	22.501425847129276	22.30750420799226	29.61104866882962	25.881103502341187	26.16614652910874	27.50142417765512	28.716203414881694	25.198355110019076	24.270984902432993	28.751747531739362	IGHV4-61	immunoglobulin heavy variable 4-61 [Source:HGNC Symbol;Acc:HGNC:5655]
A0A0C4DH55	13	28.462950029840485	29.207692974598412	29.839961190097924	29.535194914310367	25.720776144671518	22.30750420799226	28.903112123274948	26.58978005207597	27.24445152460853	28.071119921722968	27.964991570861624	26.537418436519154	28.13124091416054	28.2669589240181	IGKV3D-7	immunoglobulin kappa variable 3D-7 [Source:HGNC Symbol;Acc:HGNC:5829]
A0A0C4DH72	15	25.12139312820419	26.376169383035677	25.543331129389045	25.516531070045332	22.501425847129276	22.30750420799226	25.601162320512508	22.86370325564101	23.060311375179584	24.400790945083088	25.156534934324448	22.664109134470348	25.394275319994332	22.958315379554094	IGKV1-6	immunoglobulin kappa variable 1-6 [Source:HGNC Symbol;Acc:HGNC:5742]
A0JP26	1989	31.001689513800997	30.721102214294532	31.32495902676816	30.286919665748986	30.68812489184826	28.64924499239057	30.76919650249558	31.098986715155913	30.538898883073784	31.886491861354493	31.021680988988464	30.443321223091555	29.443321223091555	30.59334666709616	POTEB3	POTE ankyrin domain family member B3 [Source:HGNC Symbol;Acc:HGNC:51240]
A2RTX5	21	26.874083074663414	24.26069216561574	31.330312261262367	26.228025976695417	26.13124091416054	27.169973308649254	29.80961948205271	27.34942108421007	27.61104866882962	28.758117056615088	25.686456071487644	26.34435009466265	26.5667425159991	26.61806909650739	TARS3	threonyl-tRNA synthetase 3 [Source:HGNC Symbol;Acc:HGNC:24728]
A2RUC4	22	29.39304801661033	26.632008287465265	28.925922006183033	23.86067190273852	22.501425847129276	22.30750420799226	25.50142417765512	25.555084310814724	25.41377149562013	27.937193118518053	29.06085158626914	22.664109134470348	24.270984902432993	25.24263567157977	TYW5	tRNA-yW synthesizing protein 5 [Source:HGNC Symbol;Acc:HGNC:26754]
