Peptides.01_F	Peptides.04_M	Peptides.05_F	Peptides.15_M	Peptides.187_F	Peptides.188_F	Peptides.205_M	Peptides.209_M	Peptides.49_F	Peptides.52_F	Peptides.54_M	Peptides.57_M	Peptides.58_F	Peptides.96_F	Intensity.S01_F	Intensity.S04_M	Intensity.S05_F	Intensity.S15_M	Intensity.S187_F	Intensity.S188_F	Intensity.S205_M	Intensity.S209_M	Intensity.S49_F	Intensity.S52_F	Intensity.S54_M	Intensity.S57_M	Intensity.S58_F	Intensity.S96_F	iBAQ	iBAQ.01_F	iBAQ.04_M	iBAQ.05_F	iBAQ.15_M	iBAQ.187_F	iBAQ.188_F	iBAQ.205_M	iBAQ.209_M	iBAQ.49_F	iBAQ.52_F	iBAQ.54_M	iBAQ.57_M	iBAQ.58_F	iBAQ.96_F	LFQ.intensity.S01_F	LFQ.intensity.S04_M	LFQ.intensity.S05_F	LFQ.intensity.S15_M	LFQ.intensity.S187_F	LFQ.intensity.S188_F	LFQ.intensity.S205_M	LFQ.intensity.S209_M	LFQ.intensity.S49_F	LFQ.intensity.S52_F	LFQ.intensity.S54_M	LFQ.intensity.S57_M	LFQ.intensity.S58_F	LFQ.intensity.S96_F	MS.MS.count.01_F	MS.MS.count.04_M	MS.MS.count.05_F	MS.MS.count.15_M	MS.MS.count.187_F	MS.MS.count.188_F	MS.MS.count.205_M	MS.MS.count.209_M	MS.MS.count.49_F	MS.MS.count.52_F	MS.MS.count.54_M	MS.MS.count.57_M	MS.MS.count.58_F	MS.MS.count.96_F	Only.identified.by.site	Reverse	Potential.contaminant	Peptides	Sequence.coverage....	Mol..weight..kDa.	Q.value	Score	Intensity	MS.MS.count	Protein.IDs	Majority.protein.IDs	Protein.names	Gene.names
1	1	1	1	0	0	1	0	0	0	1	0	0	1	0	4.09e+08	4.34e+08	3.34e+08	0	0	5.96e+08	0	0	0	1.46e+08	0	0	1.53e+08	5.18e+08	0	1.02e+08	1.09e+08	83500000	0	0	1.49e+08	0	0	0	36400000	0	0	38100000	0	3.1e+08	3.14e+08	2.94e+08	0	0	3.26e+08	0	0	0	1.31e+08	0	0	2.94e+08	1	2	3	2	0	0	2	0	0	0	1	0	0	1		NA	NA	1	9.6	12.466	0.0051245	1.9327	2.071e+09	12	A0A075B6K0;P01717;P01718	A0A075B6K0;P01717;P01718	Ig lambda chain V-IV region Hil;Ig lambda chain V-IV region Kern	IGLV3-16
0	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		NA	NA	1	13.9	12.332	0	60.76	0	0	A0A075B6K5;P80748	A0A075B6K5;P80748	Ig lambda chain V-III region LOI	IGLV3-9
1	1	1	2	0	1	1	1	1	1	1	2	1	1	6.6e+08	1.51e+09	1.05e+09	1.39e+09	0	1.32e+08	8.77e+08	1.2e+08	2.76e+08	4.9e+08	8.63e+08	2.34e+08	8.26e+08	3.17e+08	1.46e+09	1.1e+08	2.51e+08	1.74e+08	2.32e+08	0	2.2e+07	1.46e+08	20100000	4.6e+07	81700000	1.44e+08	3.9e+07	1.38e+08	52800000	4.42e+08	1.38e+09	9.2e+08	5.68e+08	0	4.57e+08	6.01e+08	2.82e+08	3.69e+08	3.52e+08	7.49e+08	3.12e+08	8e+08	5.89e+08	2	3	2	5	0	2	2	2	1	2	2	3	2	3		NA	NA	2	16.7	13.085	0	8.1149	8737800000	31	A2NJV5;A0A0A0MRZ7;A0A075B6S2;A0A075B6S6;A0A075B6P5;A0A087WW87;P06310;P01615;P01614	A2NJV5;A0A0A0MRZ7;A0A075B6S2;A0A075B6S6;A0A075B6P5;A0A087WW87;P06310;P01615;P01614	Ig kappa chain V-II region RPMI 6410;Ig kappa chain V-II region FR;Ig kappa chain V-II region Cum	IGKV A18;IGKV2D-26;IGKV2D-29;IGKV2D-30;IGKV2D-28;IGKV2-40
0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	73100000	0	48200000	0	0	0	0	0	70900000	0	0	0	25700000	54500000	0	18300000	0	12100000	0	0	0	0	0	17700000	0	0	0	6419800	0	58500000	0	42800000	0	0	0	0	0	44300000	0	0	0	41600000	0	1	0	2	0	0	0	0	0	1	0	0	0	1		NA	NA	1	13.9	12.537	0	8.0693	218010000	5	A0A0C4DH67;A0A0C4DH69;A0A075B6S5	A0A0C4DH67;A0A0C4DH69;A0A075B6S5		IGKV1-8;IGKV1-9;IGKV1-27
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9e+07	0	0	0	0	0	0	0	0	0	0	0	0	4749300	0	4749300	0	0	0	0	0	0	0	0	0	0	0	0	0	15200000	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0		NA	NA	1	16.2	12.837	0.006837	1.8051	18997000	1	A0A087WSZ0	A0A087WSZ0		IGKV1D-8
1	2	2	2	0	0	1	1	1	1	2	1	2	2	2.68e+08	7.47e+08	1.03e+09	9.46e+08	0	0	4.04e+08	60700000	94200000	98300000	4.71e+08	59900000	6.8e+08	2.79e+08	1.29e+09	6.7e+07	1.87e+08	2.58e+08	2.37e+08	0	0	1.01e+08	15200000	23600000	24600000	1.18e+08	1.5e+07	1.7e+08	69800000	2.79e+08	5.47e+08	6.42e+08	6.61e+08	0	0	4.31e+08	2.22e+08	1.96e+08	1.1e+08	2.69e+08	2e+08	5.12e+08	3.86e+08	1	3	4	3	0	0	2	1	2	1	3	1	3	3		NA	NA	2	13.9	12.625	0.00080192	2.9597	5140600000	27	A0A0A0MRZ8;P04433	A0A0A0MRZ8;P04433	Ig kappa chain V-III region VG	IGKV3D-11
1	0	0	1	0	0	0	0	0	0	0	0	0	0	2.43e+08	0	0	53600000	0	0	0	0	0	0	0	0	0	0	42400000	34700000	0	0	7650400	0	0	0	0	0	0	0	0	0	0	77900000	0	0	47300000	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0		NA	NA	1	10.9	13.056	0.00079491	2.8552	296560000	3	A0A0A0MS15	A0A0A0MS15		IGHV3-49
0	2	1	2	0	0	0	0	0	0	0	0	1	2	0	97900000	1.63e+08	1.44e+08	0	0	0	0	0	0	0	0	34300000	2.97e+08	1.05e+08	0	1.4e+07	23300000	20600000	0	0	0	0	0	0	0	0	4897200	42500000	0	71300000	84600000	99400000	0	0	0	0	0	0	0	0	1.18e+08	82100000	0	1	1	2	0	0	0	0	0	0	0	0	1	2		NA	NA	3	26.1	12.926	0.00081967	3.2691	737030000	7	A0A0B4J1V0;A0A0B4J1Y9;A0A0B4J1V6	A0A0B4J1V0		IGHV3-15
1	0	2	0	0	0	0	0	0	0	0	1	0	1	88400000	0	9.2e+07	0	0	0	0	0	0	0	0	17300000	0	1.7e+07	53700000	22100000	0	2.3e+07	0	0	0	0	0	0	0	0	4324400	0	4261300	73600000	0	21600000	0	0	0	0	0	0	0	0	36300000	0	18100000	1	0	2	0	0	0	0	0	0	0	0	1	0	1		NA	NA	2	16.2	12.569	0	8.058	214730000	5	P0DP09;A0A0B4J2D9	P0DP09;A0A0B4J2D9		IGKV1D-13
1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	16400000	0	0	0	0	0	0	0	0	0	0	0	0	2726000	0	2726000	0	0	0	0	0	0	0	0	0	0	0	0	0	12100000	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	+	NA	NA	1	7.7	13.124	1	-2	16356000	3	A0A0C4DH34	A0A0C4DH34		IGHV4-28
