Entry.name	Entry (UniProtAC)		MS.MS.count.AD1.1.1	MS.MS.count.AD1.2.1	MS.MS.count.AD1.2.2	MS.MS.count.AD1.1.2	MS.MS.count.AD2.1.1	MS.MS.count.AD2.2.1	MS.MS.count.AD2.2.2	MS.MS.count.AD2.1.2	MS.MS.count.AD3.1.1	MS.MS.count.AD3.2.1	MS.MS.count.AD3.2.2	MS.MS.count.AD3.1.2	MS.MS.count.AD4.1.1	MS.MS.count.AD4.2.1	MS.MS.count.AD4.2.2	MS.MS.count.AD4.1.2	MS.MS.count.AD5.1.1	MS.MS.count.AD5.1.2	MS.MS.count.ND1.1.1	MS.MS.count.ND1.1.2	MS.MS.count.ND2.1.1	MS.MS.count.ND2.2.1	MS.MS.count.ND2.2.2	MS.MS.count.ND2.1.2	MS.MS.count.ND3.1.1	MS.MS.count.ND3.2.1	MS.MS.count.ND3.2.2	MS.MS.count.ND3.1.2	Intensity.AD1.1.1	Intensity.AD1.2.1	Intensity.AD1.2.2	Intensity.AD1.1.2	Intensity.AD2.1.1	Intensity.AD2.2.1	Intensity.AD2.2.2	Intensity.AD2.1.2	Intensity.AD3.1.1	Intensity.AD3.2.1	Intensity.AD3.2.2	Intensity.AD3.1.2	Intensity.AD4.1.1	Intensity.AD4.2.1	Intensity.AD4.2.2	Intensity.AD4.1.2	Intensity.AD5.1.1	Intensity.AD5.1.2	Intensity.ND1.1.1	Intensity.ND1.1.2	Intensity.ND2.1.1	Intensity.ND2.2.1	Intensity.ND2.2.2	Intensity.ND2.1.2	Intensity.ND3.1.1	Intensity.ND3.2.1	Intensity.ND3.2.2	Intensity.ND3.1.2		Raw.p	Raw.FC	SC.p	SC.FC			Protein.names	Gene.names	Gene.names...primary..	Function..CC.	Length	Gene.ontology..biological.process.	Gene.ontology..cellular.component.	Gene.ontology..molecular.function.	Domain..CC.	Domain..FT.	Protein.families	Sequence.similarities	EC.number	Organism	Repeat	Region	Zinc.finger	Motif	Coiled.coil	Compositional.bias	Cross.reference..MGI.	Cross.reference..GeneCards.	Status	
RL40_HUMAN	P62987		66	41	51	57	34	43	36	33	29	35	45	24	30	47	49	23	51	69	67	71	31	50	38	28	39	59	36	32	9.31	9.39	9.53	9.29	9.40	9.30	9.04	9.37	9.25	9.35	9.44	9.18	9.05	9.44	9.50	9.07	9.55	9.81	9.44	9.45	9.22	9.12	9.04	9.09	8.90	9.36	9.05	8.78		0.001305257	0.981519027	0.649390574	0.939886672			Ubiquitin-60S ribosomal protein L40 (CEP52) (Ubiquitin A-52 residue ribosomal protein fusion product 1) [Cleaved into: Ubiquitin; 60S ribosomal protein L40 (Large ribosomal subunit protein eL40)]	UBA52 UBCEP2	UBA52	"FUNCTION: Ubiquitin: Exists either covalently attached to another protein, or free (unanchored). When covalently bound, it is conjugated to target proteins via an isopeptide bond either as a monomer (monoubiquitin), a polymer linked via different Lys residues of the ubiquitin (polyubiquitin chains) or a linear polymer linked via the initiator Met of the ubiquitin (linear polyubiquitin chains). Polyubiquitin chains, when attached to a target protein, have different functions depending on the Lys residue of the ubiquitin that is linked: Lys-6-linked may be involved in DNA repair; Lys-11-linked is involved in ERAD (endoplasmic reticulum-associated degradation) and in cell-cycle regulation; Lys-29-linked is involved in lysosomal degradation; Lys-33-linked is involved in kinase modification; Lys-48-linked is involved in protein degradation via the proteasome; Lys-63-linked is involved in endocytosis, DNA-damage responses as well as in signaling processes leading to activation of the transcription factor NF-kappa-B. Linear polymer chains formed via attachment by the initiator Met lead to cell signaling. Ubiquitin is usually conjugated to Lys residues of target proteins, however, in rare cases, conjugation to Cys or Ser residues has been observed. When polyubiquitin is free (unanchored-polyubiquitin), it also has distinct roles, such as in activation of protein kinases, and in signaling.; FUNCTION: 60S ribosomal protein L40: Component of the 60S subunit of the ribosome. Ribosomal protein L40 is essential for translation of a subset of cellular transcripts, and especially for cap-dependent translation of vesicular stomatitis virus mRNAs."	128	"activation of MAPK activity [GO:0000187]; anaphase-promoting complex-dependent catabolic process [GO:0031145]; cellular iron ion homeostasis [GO:0006879]; cellular protein metabolic process [GO:0044267]; cellular protein modification process [GO:0006464]; DNA damage response, detection of DNA damage [GO:0042769]; DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest [GO:0006977]; endoplasmic reticulum mannose trimming [GO:1904380]; endosomal transport [GO:0016197]; entry of bacterium into host cell [GO:0035635]; ERBB2 signaling pathway [GO:0038128]; error-free translesion synthesis [GO:0070987]; error-prone translesion synthesis [GO:0042276]; Fc-epsilon receptor signaling pathway [GO:0038095]; fibroblast growth factor receptor signaling pathway [GO:0008543]; G2/M transition of mitotic cell cycle [GO:0000086]; global genome nucleotide-excision repair [GO:0070911]; glycogen biosynthetic process [GO:0005978]; I-kappaB kinase/NF-kappaB signaling [GO:0007249]; innate immune response [GO:0045087]; interstrand cross-link repair [GO:0036297]; intracellular transport of virus [GO:0075733]; ion transmembrane transport [GO:0034220]; JNK cascade [GO:0007254]; macroautophagy [GO:0016236]; MAPK cascade [GO:0000165]; membrane organization [GO:0061024]; MyD88-dependent toll-like receptor signaling pathway [GO:0002755]; MyD88-independent toll-like receptor signaling pathway [GO:0002756]; negative regulation of apoptotic process [GO:0043066]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of epidermal growth factor receptor signaling pathway [GO:0042059]; negative regulation of G2/M transition of mitotic cell cycle [GO:0010972]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; negative regulation of type I interferon production [GO:0032480]; negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle [GO:0051436]; NIK/NF-kappaB signaling [GO:0038061]; Notch signaling pathway [GO:0007219]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; nucleotide-binding oligomerization domain containing signaling pathway [GO:0070423]; nucleotide-excision repair, DNA damage recognition [GO:0000715]; nucleotide-excision repair, DNA duplex unwinding [GO:0000717]; nucleotide-excision repair, DNA gap filling [GO:0006297]; nucleotide-excision repair, DNA incision [GO:0033683]; nucleotide-excision repair, DNA incision, 5'-to lesion [GO:0006296]; nucleotide-excision repair, preincision complex assembly [GO:0006294]; positive regulation of apoptotic process [GO:0043065]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of epidermal growth factor receptor signaling pathway [GO:0045742]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition [GO:0051437]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein deubiquitination [GO:0016579]; protein folding [GO:0006457]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]; protein ubiquitination involved in ubiquitin-dependent protein catabolic process [GO:0042787]; regulation of hematopoietic stem cell differentiation [GO:1902036]; regulation of mRNA stability [GO:0043488]; regulation of necroptotic process [GO:0060544]; regulation of signal transduction by p53 class mediator [GO:1901796]; regulation of transcription from RNA polymerase II promoter in response to hypoxia [GO:0061418]; regulation of tumor necrosis factor-mediated signaling pathway [GO:0010803]; regulation of type I interferon production [GO:0032479]; rRNA processing [GO:0006364]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]; stress-activated MAPK cascade [GO:0051403]; T cell receptor signaling pathway [GO:0050852]; transcription-coupled nucleotide-excision repair [GO:0006283]; transforming growth factor beta receptor signaling pathway [GO:0007179]; translation [GO:0006412]; translational initiation [GO:0006413]; translesion synthesis [GO:0019985]; transmembrane transport [GO:0055085]; TRIF-dependent toll-like receptor signaling pathway [GO:0035666]; tumor necrosis factor-mediated signaling pathway [GO:0033209]; viral life cycle [GO:0019058]; viral transcription [GO:0019083]; virion assembly [GO:0019068]; Wnt signaling pathway [GO:0016055]; Wnt signaling pathway, planar cell polarity pathway [GO:0060071]"	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; endocytic vesicle membrane [GO:0030666]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum quality control compartment [GO:0044322]; endosome membrane [GO:0010008]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; host cell [GO:0043657]; lysosomal membrane [GO:0005765]; mitochondrial outer membrane [GO:0005741]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; ribosome [GO:0005840]; vesicle [GO:0031982]	structural constituent of ribosome [GO:0003735]		DOMAIN 1 76 Ubiquitin-like. {ECO:0000255|PROSITE-ProRule:PRU00214}.	Ubiquitin family; Eukaryotic ribosomal protein eL40 family	SIMILARITY: In the N-terminal section; belongs to the ubiquitin family. {ECO:0000305}.; SIMILARITY: In the C-terminal section; belongs to the eukaryotic ribosomal protein eL40 family. {ECO:0000305}.		Homo sapiens (Human)								UBA52;	reviewed	
RL14_HUMAN	P50914		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	6	1	1	1	0	0	1	13	7	4	11									7.67			7.86					9.07	9.16	7.71	7.61	6.47			6.35	8.55	8.66	8.57	8.51		0.025895356	0.854281937	0.065859007	0.170940171			60S ribosomal protein L14 (CAG-ISL 7) (Large ribosomal subunit protein eL14)	RPL14	RPL14	FUNCTION: Component of the large ribosomal subunit. {ECO:0000305|PubMed:12962325}.	215	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; ribosomal large subunit biogenesis [GO:0042273]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]"	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; extracellular exosome [GO:0070062]; membrane [GO:0016020]	cadherin binding [GO:0045296]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]			Eukaryotic ribosomal protein eL14 family	SIMILARITY: Belongs to the eukaryotic ribosomal protein eL14 family. {ECO:0000305}.		Homo sapiens (Human)	REPEAT 171 175 1-1.; REPEAT 176 180 1-2.; REPEAT 181 185 1-3.; REPEAT 186 190 1-4.; REPEAT 193 195 2-1.; REPEAT 196 198 2-2.	REGION 171 190 4 X 5 AA tandem repeats of Q-K-A-[PAS]-X.; REGION 193 198 2 X 3 AA tandem repeats of K-[GA]-Q.						RPL14;	reviewed	
RL22_HUMAN	P35268		0	1	1	0	0	0	0	0	2	0	0	1	0	0	0	0	4	6	0	1	0	0	0	1	3	3	4	3		7.98	8.09						8.30			8.04					9.03	9.31	7.53	7.43	7.04			6.98	8.39	8.73	8.57	8.29		0.046247373	0.879634946	0.305903613	0.555555556			60S ribosomal protein L22 (EBER-associated protein) (EAP) (Epstein-Barr virus small RNA-associated protein) (Heparin-binding protein HBp15) (Large ribosomal subunit protein eL22)	RPL22	RPL22		128	"cytoplasmic translation [GO:0002181]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]"	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; focal adhesion [GO:0005925]; intracellular ribonucleoprotein complex [GO:0030529]; nucleus [GO:0005634]	heparin binding [GO:0008201]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]			Eukaryotic ribosomal protein eL22 family	SIMILARITY: Belongs to the eukaryotic ribosomal protein eL22 family. {ECO:0000305}.		Homo sapiens (Human)						COMPBIAS 120 128 Asp/Glu-rich (highly acidic).		RPL22;	reviewed	
RL27_HUMAN	P61353		0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	8	9	1	0	0	0	0	1	14	9	10	14			8.06						8.06			7.83					9.22	9.34	7.27		6.69			6.67	8.95	8.97	8.75	8.85		0.089678017	0.873893971	0.093407235	0.238095238			60S ribosomal protein L27 (Large ribosomal subunit protein eL27)	RPL27	RPL27	"FUNCTION: Component of the large ribosomal subunit (PubMed:12962325). Required for proper rRNA processing and maturation of 28S and 5.8S rRNAs (PubMed:25424902). {ECO:0000269|PubMed:25424902, ECO:0000305|PubMed:12962325}."	136	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]"	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; focal adhesion [GO:0005925]; intracellular ribonucleoprotein complex [GO:0030529]; membrane [GO:0016020]; nucleus [GO:0005634]; ribosome [GO:0005840]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]		DOMAIN 5 40 KOW.	Eukaryotic ribosomal protein eL27 family	SIMILARITY: Belongs to the eukaryotic ribosomal protein eL27 family. {ECO:0000305}.		Homo sapiens (Human)								RPL27;	reviewed	
RL36L_HUMAN	Q969Q0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	1	0	3	3	3	4																	8.02	8.42					6.48		7.63	7.70	7.80	7.25		0.091957627	0.914732071	0.06730236	0.198412698			60S ribosomal protein L36a-like (Large ribosomal subunit protein eL42-like)	RPL36AL	RPL36AL		106	translation [GO:0006412]	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	structural constituent of ribosome [GO:0003735]			Eukaryotic ribosomal protein eL42 family	SIMILARITY: Belongs to the eukaryotic ribosomal protein eL42 family. {ECO:0000305}.		Homo sapiens (Human)								RPL36AL;	reviewed	
RL28_HUMAN	P46779		0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	12	15	1	0	0	0	0	0	13	12	10	14			7.67						7.57								9.21	9.24	7.14	7.07					8.31	8.87	8.64	8.40		0.093589239	0.8822479	0.154327148	0.322222222			60S ribosomal protein L28 (Large ribosomal subunit protein eL28)	RPL28	RPL28	FUNCTION: Component of the large ribosomal subunit. {ECO:0000305|PubMed:12962325}.	137	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; positive regulation of protein targeting to mitochondrion [GO:1903955]; regulation of autophagy of mitochondrion [GO:1903146]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]"	cell body [GO:0044297]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; dendrite [GO:0030425]; extracellular exosome [GO:0070062]; membrane [GO:0016020]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]			Eukaryotic ribosomal protein eL28 family	SIMILARITY: Belongs to the eukaryotic ribosomal protein eL28 family. {ECO:0000305}.		Homo sapiens (Human)								RPL28;	reviewed	
RL8_HUMAN	P62917		0	4	3	0	0	0	0	0	5	2	0	3	0	0	0	0	21	22	1	1	1	0	0	1	24	15	17	26		8.55	8.54						8.58	8.11		8.50					9.64	9.68	7.47	7.50	7.21			6.85	8.98	9.20	8.97	9.07		0.108141285	0.884911519	0.182801378	0.387596899			60S ribosomal protein L8 (Large ribosomal subunit protein uL2)	RPL8	RPL8	FUNCTION: Component of the large ribosomal subunit. {ECO:0000305|PubMed:12962325}.	257	"cellular response to nerve growth factor stimulus [GO:1990090]; cytoplasmic translation [GO:0002181]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]"	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; focal adhesion [GO:0005925]; membrane [GO:0016020]	5.8S rRNA binding [GO:1990932]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]			Universal ribosomal protein uL2 family	SIMILARITY: Belongs to the universal ribosomal protein uL2 family. {ECO:0000305}.		Homo sapiens (Human)								RPL8;	reviewed	
RL38_HUMAN	P63173		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	3	3	2	5																	8.76	8.66							8.08	8.23	7.96	7.91		0.143593153	0.90641999	0.176920557	0.299145299			60S ribosomal protein L38 (Large ribosomal subunit protein eL38)	RPL38	RPL38		70	"90S preribosome assembly [GO:0034463]; axial mesoderm development [GO:0048318]; middle ear morphogenesis [GO:0042474]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; ossification [GO:0001503]; regulation of translation [GO:0006417]; ribonucleoprotein complex assembly [GO:0022618]; rRNA processing [GO:0006364]; sensory perception of sound [GO:0007605]; skeletal system development [GO:0001501]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]"	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; eukaryotic 80S initiation complex [GO:0033291]; focal adhesion [GO:0005925]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]			Eukaryotic ribosomal protein eL38 family	SIMILARITY: Belongs to the eukaryotic ribosomal protein eL38 family. {ECO:0000305}.		Homo sapiens (Human)								RPL38;	reviewed	
RL32_HUMAN	P62910		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2	0	0	0	0	0	0	4	4	2	6												7.35					8.51	8.54							7.82	8.57	8.28	8.13		0.15909237	0.906236003	0.102658727	0.173611111			60S ribosomal protein L32 (Large ribosomal subunit protein eL32)	RPL32 PP9932	RPL32		135	"cellular response to dexamethasone stimulus [GO:0071549]; liver regeneration [GO:0097421]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]"	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; membrane [GO:0016020]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]			Eukaryotic ribosomal protein eL32 family	SIMILARITY: Belongs to the eukaryotic ribosomal protein eL32 family. {ECO:0000305}.		Homo sapiens (Human)								RPL32;	reviewed	
RL19_HUMAN	P84098		0	2	1	0	0	0	0	0	2	1	1	1	0	0	0	0	11	11	1	0	1	0	0	0	9	8	9	8		8.05	8.10						7.88	7.85	7.97	7.36					9.30	9.32	7.37	7.48	7.04				8.66	8.86	8.72	8.51		0.164322029	0.90658857	0.236809634	0.462962963			60S ribosomal protein L19 (Large ribosomal subunit protein eL19)	RPL19	RPL19		196	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]"	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; focal adhesion [GO:0005925]; membrane [GO:0016020]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]			Eukaryotic ribosomal protein eL19 family	SIMILARITY: Belongs to the eukaryotic ribosomal protein eL19 family. {ECO:0000305}.		Homo sapiens (Human)								RPL19;	reviewed	
